"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2022/01/06 3:24:37 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","3.50 – 4.00","1500 – 1999","Moderately Happy","Moderately Happy","Happy","Unhappy","Verry Happy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy;Happy","Agree","Agree","Agree","Neutral","Neutral","Strongly Disagree","Agree","Agree","Neutral","Strongly Agree"
"2022/01/06 3:25:36 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Happy","Happy","Verry Happy","Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree"
"2022/01/06 3:28:28 ÖS GMT+2","Male","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Unhappy","Happy","Happy","Happy","Unhappy","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"2022/01/06 3:29:24 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Verry Happy","Happy","Happy","Disagree","Strongly Agree","Disagree","Neutral","Disagree","Strongly Disagree","Agree","Neutral","Strongly Disagree","Strongly Agree"
"2022/01/06 3:30:08 ÖS GMT+2","Male","25 +","IE","Faculty of Engineering","Graduate","3.50 – 4.00","2500 +","Unhappy","Happy","Unhappy","Happy","Unhappy","Very Unhappy","Happy","Unhappy","Unhappy","Happy","Unhappy","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree"
"2022/01/06 3:30:16 ÖS GMT+2","Female","18 - 21","BA","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Agree","Agree","Strongly Disagree","Disagree"
"2022/01/06 3:34:00 ÖS GMT+2","Male","22 - 25","Adm","Faculty of Economic and Administrative Sciences","Undergraduate","2.50 – 2.99","1000 – 1499","Very Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Verry Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Agree","Disagree","Neutral","Disagree","Strongly Agree","Strongly Disagree"
"2022/01/06 3:37:56 ÖS GMT+2","Female","22 - 25","Mıne","Faculty of Engineering","Undergraduate","1.00 – 1.99","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Unhappy","Very Unhappy","Very Unhappy","Happy","Verry Happy","Moderately Happy","Very Unhappy","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree"
"2022/01/06 3:38:04 ÖS GMT+2","Male","18 - 21","ADM","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Happy","Unhappy","Happy","Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral","Strongly Agree"
"2022/01/06 3:39:05 ÖS GMT+2","Prefer not to say","22 - 25","Me","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy;Happy","Moderately Happy","Unhappy","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Agree"
"2022/01/06 3:39:18 ÖS GMT+2","Male","22 - 25","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2000 – 2499","Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Agree","Strongly Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree"
"2022/01/06 3:39:35 ÖS GMT+2","Male","22 - 25"," Me","Faculty of Engineering","Graduate","3.00 – 3.49","0.00 – 999","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Verry Happy","Unhappy","Happy","Happy","Unhappy","Moderately Happy","Happy","Strongly Agree","Strongly Disagree","Neutral","Agree","Disagree","Neutral","Agree","Neutral","Agree","Disagree"
"2022/01/06 3:40:34 ÖS GMT+2","Male","18 - 21","IR","Faculty of Economic and Administrative Sciences","Undergraduate","3.50 – 4.00","2000 – 2499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Happy","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral"
"2022/01/06 3:40:50 ÖS GMT+2","Male","18 - 21","Chem","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1500 – 1999","Happy","Happy","Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Verry Happy","Moderately Happy","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Agree","Agree","Strongly Disagree"
"2022/01/06 3:44:32 ÖS GMT+2","Male","18 - 21","","","","","","Very Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2022/01/06 3:44:54 ÖS GMT+2","Female","18 - 21","ADM","Faculty of Economic and Administrative Sciences","Undergraduate","3.50 – 4.00","0.00 – 999","Happy","Unhappy","Happy","Happy","Happy","Moderately Happy","Happy","Happy","Unhappy","Happy","Moderately Happy","Disagree","Agree","Agree","Neutral","Agree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree"
"2022/01/06 3:46:04 ÖS GMT+2","Female","18 - 21","FDE","Faculty of Engineering","Undergraduate","1.00 – 1.99","2000 – 2499","Unhappy","Unhappy","Very Unhappy","Unhappy","Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral"
"2022/01/06 3:47:07 ÖS GMT+2","Male","22 - 25","ADM","Faculty of Economic and Administrative Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Happy","Very Unhappy","Happy","Happy","Happy","Happy","Unhappy","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2022/01/06 3:47:16 ÖS GMT+2","Male","22 - 25","Bote","Faculty of Education","Graduate","2.50 – 2.99","1000 – 1499","Happy","Verry Happy","Unhappy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy;Happy","Unhappy","Happy","Moderately Happy","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2022/01/06 3:47:16 ÖS GMT+2","Male","18 - 21","BOTE","Faculty of Education","Graduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Verry Happy","Moderately Happy","Happy","Happy","Moderately Happy","Happy","Moderately Happy","Very Unhappy","Happy","Happy","Neutral","Agree","Neutral","Neutral","Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree"
"2022/01/06 3:47:26 ÖS GMT+2","Male","22 - 25","Econ ","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy;Moderately Happy","Very Unhappy;Verry Happy","Strongly Disagree","Strongly Disagree","Agree","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Disagree"
"2022/01/06 3:48:44 ÖS GMT+2","Female","22 - 25","Ce","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Verry Happy","Verry Happy","Unhappy;Moderately Happy","Moderately Happy","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Neutral"
"2022/01/06 3:49:03 ÖS GMT+2","Female","18 - 21","ADM","Faculty of Economic and Administrative Sciences","Undergraduate","3.50 – 4.00","1500 – 1999","Very Unhappy","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Verry Happy","Moderately Happy","Unhappy;Moderately Happy","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"2022/01/06 3:50:51 ÖS GMT+2","Male","22 - 25","MİNE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Unhappy","Unhappy","Moderately Happy","Unhappy","Happy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Neutral","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree"
"2022/01/06 3:50:51 ÖS GMT+2","Female","18 - 21","Eme ","Faculty of Education","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Happy","Very Unhappy","Unhappy","Verry Happy","Unhappy","Very Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Very Unhappy","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral"
"2022/01/06 3:53:51 ÖS GMT+2","Male","18 - 21","IR","Faculty of Economic and Administrative Sciences","Preparation","Pass the question","0.00 – 999","Very Unhappy","Happy","Moderately Happy","Happy","Verry Happy","Happy","Happy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Strongly Disagree"
"2022/01/06 3:54:04 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Happy","Unhappy","Happy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Neutral","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Disagree"
"2022/01/06 3:54:10 ÖS GMT+2","Male","22 - 25","IE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree","Neutral","Strongly Agree","Agree","Agree"
"2022/01/06 3:54:13 ÖS GMT+2","Female","22 - 25","EME","Faculty of Education","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Happy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Happy","Unhappy","Verry Happy","Unhappy","Very Unhappy","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree"
"2022/01/06 3:54:23 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Disagree"
"2022/01/06 3:54:59 ÖS GMT+2","Male","25 +","FDE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Unhappy","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Agree","Disagree","Agree"
"2022/01/06 3:55:27 ÖS GMT+2","Male","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","2000 – 2499","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Verry Happy","Unhappy","Very Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Disagree"
"2022/01/06 3:55:31 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1500 – 1999","Moderately Happy","Verry Happy","Moderately Happy","Happy","Unhappy","Unhappy","Happy","Happy","Verry Happy","Verry Happy","Unhappy","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Agree"
"2022/01/06 3:55:59 ÖS GMT+2","Female","18 - 21","IE","Faculty of Engineering","Preparation","Pass the question","1500 – 1999","Unhappy","Moderately Happy","Moderately Happy","Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Unhappy;Moderately Happy","Moderately Happy","Very Unhappy","Neutral","Agree","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree"
"2022/01/06 3:56:25 ÖS GMT+2","Male","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","2000 – 2499","Moderately Happy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Strongly Disagree"
"2022/01/06 3:56:27 ÖS GMT+2","Female","18 - 21","phys","Faculty of Arts and Sciences","Undergraduate","Pass the question","1000 – 1499","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Very Unhappy","Verry Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Neutral","Strongly Agree","Neutral","Strongly Agree"
"2022/01/06 3:56:39 ÖS GMT+2","Female","18 - 21","MBG","Faculty of Arts and Sciences","Preparation","Pass the question","1000 – 1499","Moderately Happy","Happy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Verry Happy","Very Unhappy","Moderately Happy","Very Unhappy","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Neutral"
"2022/01/06 3:57:51 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","1.00 – 1.99","0.00 – 999","Moderately Happy","Very Unhappy","Very Unhappy","Unhappy","Happy","Very Unhappy","Happy","Verry Happy","Verry Happy","Verry Happy","Happy","Neutral","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Strongly Disagree"
"2022/01/06 3:59:01 ÖS GMT+2","Female","18 - 21","Chemistry","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","1000 – 1499","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Happy","Moderately Happy","Happy","Happy","Unhappy","Neutral","Disagree","Strongly Disagree","","Disagree","Disagree","Disagree","Disagree","Agree","Agree"
"2022/01/06 3:59:18 ÖS GMT+2","Female","18 - 21","CHED","Faculty of Education","Undergraduate","1.00 – 1.99","1500 – 1999","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Verry Happy","Very Unhappy","Verry Happy","Moderately Happy","Unhappy","Neutral","Agree","Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Neutral"
"2022/01/06 3:59:27 ÖS GMT+2","Female","22 - 25","ECE","Faculty of Education","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Agree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree"
"2022/01/06 3:59:34 ÖS GMT+2","Female","22 - 25","Psy","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral"
"2022/01/06 4:01:08 ÖS GMT+2","Male","18 - 21","SOC","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Verry Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Very Unhappy","Strongly Agree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Agree"
"2022/01/06 4:02:41 ÖS GMT+2","Female","18 - 21","Physics","Faculty of Arts and Sciences","Graduate","Pass the question","2000 – 2499","Very Unhappy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Disagree","Neutral","Agree","Agree","Agree","Disagree"
"2022/01/06 4:03:40 ÖS GMT+2","Prefer not to say","22 - 25","Phys","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1000 – 1499","Very Unhappy","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Neutral","Agree","Disagree","Neutral","Strongly Disagree","Disagree","Agree","Neutral","Neutral","Agree"
"2022/01/06 4:09:51 ÖS GMT+2","Male","18 - 21","FDE","Faculty of Engineering","Undergraduate","Pass the question","1500 – 1999","Moderately Happy","Happy","Very Unhappy","Happy","Happy","Unhappy","Verry Happy","Verry Happy","Happy","Happy;Verry Happy","Moderately Happy","Strongly Agree","Strongly Disagree","Neutral","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Strongly Agree"
"2022/01/06 4:11:03 ÖS GMT+2","Female","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Happy","Moderately Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Neutral","Agree","Strongly Agree","Disagree","Neutral","Neutral","Disagree","Disagree","Agree","Strongly Disagree"
"2022/01/06 4:35:14 ÖS GMT+2","Female","22 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Moderately Happy","Happy","Unhappy","Verry Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Happy","Very Unhappy","Disagree","Neutral","Strongly Agree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Neutral","Strongly Disagree"
"2022/01/06 4:35:33 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Happy","Moderately Happy","Happy","Verry Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Disagree","Agree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Agree"
"2022/01/06 4:37:13 ÖS GMT+2","Male","22 - 25","BA","Faculty of Economic and Administrative Sciences","Undergraduate","3.00 – 3.49","2500 +","Very Unhappy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Very Unhappy","Happy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Disagree","Agree","Disagree","Neutral","Strongly Disagree","Neutral","Agree","Agree","Agree","Agree"
"2022/01/06 4:37:57 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Graduate","2.00 – 2.49","1500 – 1999","Very Unhappy","Very Unhappy","Happy","Unhappy","Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral","Agree"
"2022/01/06 4:59:25 ÖS GMT+2","Male","22 - 25","EEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Very Unhappy","Unhappy","Unhappy","Happy","Moderately Happy","Moderately Happy","Happy","Happy","Happy","Very Unhappy","Neutral","Disagree","Agree","Neutral","Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Neutral"
"2022/01/06 5:00:44 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Agree","Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Agree","Disagree","Agree"
"2022/01/06 5:12:09 ÖS GMT+2","Male","18 - 21","Arch","Faculty of Architecture","Undergraduate","2.00 – 2.49","0.00 – 999","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Happy","Happy","Very Unhappy","Happy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"2022/01/06 5:13:00 ÖS GMT+2","Female","18 - 21","ENVE","Faculty of Engineering","Undergraduate","Pass the question","0.00 – 999","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Verry Happy","Unhappy","Very Unhappy","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Neutral","Neutral","Agree"
"2022/01/06 5:38:43 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Very Unhappy","Moderately Happy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Moderately Happy","Happy","Verry Happy","Very Unhappy","Unhappy","Disagree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree"
"2022/01/06 5:38:44 ÖS GMT+2","Prefer not to say","18 - 21","ME","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Very Unhappy","Unhappy","Unhappy","Happy","Unhappy","Happy","Happy","Very Unhappy","Moderately Happy","Unhappy","Neutral","Disagree","Disagree","Agree","Disagree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree"
"2022/01/06 5:48:37 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Disagree","Agree"
"2022/01/06 5:50:00 ÖS GMT+2","Male","18 - 21","Physics","Faculty of Education","Undergraduate","1.00 – 1.99","0.00 – 999","Moderately Happy","Happy","Very Unhappy","Unhappy","Verry Happy","Very Unhappy","Happy","Happy","Happy","Happy","Unhappy","Neutral","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Neutral"
"2022/01/06 6:08:29 ÖS GMT+2","Female","18 - 21","IR","Faculty of Economic and Administrative Sciences","Undergraduate","2.00 – 2.49","0.00 – 999","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Happy;Verry Happy","Happy","Unhappy","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree"
"2022/01/06 6:15:54 ÖS GMT+2","Male","18 - 21","BA","Faculty of Economic and Administrative Sciences","Preparation","Pass the question","1500 – 1999","Moderately Happy","Verry Happy","Happy","Moderately Happy","Verry Happy","Very Unhappy","Verry Happy","Very Unhappy","Happy","Happy","Very Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Agree"
"2022/01/06 6:16:07 ÖS GMT+2","Male","18 - 21","CHE","Faculty of Engineering","Preparation","Pass the question","1500 – 1999","Unhappy","Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Agree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree"
"2022/01/06 6:17:16 ÖS GMT+2","Male","18 - 21","BIOLOGY","Faculty of Arts and Sciences","Preparation","Pass the question","1500 – 1999","Happy","Happy","Happy","Moderately Happy","Verry Happy","Happy","Happy","Happy","Unhappy;Moderately Happy","Verry Happy","Moderately Happy","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
"2022/01/06 7:03:38 ÖS GMT+2","Female","18 - 21","chem","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Unhappy","Unhappy;Moderately Happy","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Disagree","Agree"
"2022/01/06 7:21:46 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Very Unhappy","Verry Happy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral"
